Date,Death,Cured/Discharged/Migrated,New cases,New deaths,New recovered,Total Confirmed cases
3/9/2020,0,0,0,0,0,1
3/10/2020,0,0,3,0,0,4
3/11/2020,0,0,0,0,0,4
3/12/2020,1,0,0,1,0,4
3/13/2020,1,0,1,0,0,5
3/14/2020,1,0,1,0,0,6
3/15/2020,1,0,0,0,0,6
3/16/2020,1,0,0,0,0,6
3/17/2020,1,0,5,0,0,11
3/18/2020,1,0,0,0,0,11
3/19/2020,1,0,3,0,0,14
3/20/2020,1,0,1,0,0,15
3/21/2020,1,1,0,0,1,15
3/22/2020,1,2,11,0,1,26
3/23/2020,1,2,7,0,0,33
3/24/2020,1,3,4,0,1,37
3/25/2020,1,3,4,0,0,41
3/26/2020,2,3,14,1,0,55
3/27/2020,2,3,0,0,0,55
3/28/2020,2,3,0,0,0,55
3/29/2020,3,5,21,1,2,76
3/30/2020,3,5,4,0,0,80
3/31/2020,3,5,3,0,0,83
4/1/2020,3,8,18,0,3,101
4/2/2020,3,9,9,0,1,110
4/3/2020,3,10,14,0,1,124
4/4/2020,3,12,4,0,2,128
4/5/2020,4,12,16,1,0,144
4/6/2020,4,12,7,0,0,151
4/7/2020,4,12,0,0,0,151
4/8/2020,4,25,24,0,13,175
4/9/2020,5,28,6,1,3,181
4/10/2020,5,28,0,0,0,181
4/11/2020,6,31,26,1,3,207
4/12/2020,6,37,7,0,6,214
4/13/2020,6,57,18,0,20,232
4/14/2020,9,65,26,3,8,258
4/15/2020,10,71,2,1,6,260
4/16/2020,12,80,19,2,9,279
4/17/2020,13,82,74,1,2,353
4/18/2020,13,89,6,0,7,359
4/19/2020,14,104,25,1,15,384
4/20/2020,16,111,6,2,7,390
4/21/2020,16,112,18,0,1,408
4/22/2020,17,129,10,1,17,418
4/23/2020,17,131,9,0,2,427
4/24/2020,17,145,18,0,14,445
4/25/2020,18,152,29,1,7,474
4/26/2020,18,158,26,0,6,500
4/27/2020,19,182,3,1,24,503
4/28/2020,20,193,9,1,11,512
4/29/2020,20,207,11,0,14,523
4/30/2020,21,216,12,1,9,535
5/1/2020,21,229,30,0,13,565
5/2/2020,22,251,24,1,22,589
5/3/2020,25,271,12,3,20,601
5/4/2020,25,293,13,0,22,614
5/5/2020,27,321,37,2,28,651
5/6/2020,29,331,20,2,10,671
5/7/2020,29,354,22,0,23,693
5/8/2020,30,366,12,1,12,705
5/9/2020,30,376,48,0,10,753
5/10/2020,30,386,41,0,10,794
5/11/2020,31,424,54,1,38,848
5/12/2020,31,426,14,0,2,862
5/13/2020,31,433,63,0,7,925
5/14/2020,33,451,34,2,18,959
5/15/2020,35,460,28,2,9,987
5/16/2020,36,480,69,1,20,1056
5/17/2020,36,496,36,0,16,1092
5/18/2020,37,509,55,1,13,1147
5/19/2020,37,530,99,0,21,1246
5/20/2020,40,544,151,3,14,1397
5/21/2020,41,556,65,1,12,1462
5/22/2020,41,571,143,0,15,1605
5/23/2020,41,597,138,0,26,1743
5/24/2020,42,608,216,1,11,1959
5/25/2020,42,654,130,0,46,2089
5/26/2020,44,705,93,2,51,2182
5/27/2020,44,748,101,0,43,2283
5/28/2020,47,781,135,3,33,2418
5/29/2020,47,834,115,0,53,2533
5/30/2020,48,894,248,1,60,2781
5/31/2020,48,997,141,0,103,2922
6/1/2020,51,1218,299,3,221,3221
6/2/2020,52,1328,187,1,110,3408
6/3/2020,52,1403,388,0,75,3796
6/4/2020,53,1514,267,1,111,4063
6/5/2020,57,1610,257,4,96,4320
6/6/2020,57,1688,515,0,78,4835
6/7/2020,59,1968,378,2,280,5213
6/8/2020,61,2132,239,2,164,5452
6/9/2020,64,2519,308,3,387,5760
6/10/2020,66,2604,161,2,85,5921
6/11/2020,69,2862,120,3,258,6041
6/12/2020,72,2977,204,3,115,6245
6/13/2020,79,3440,271,7,463,6516
6/14/2020,81,3648,308,2,208,6824
6/15/2020,86,3955,176,5,307,7000
6/16/2020,89,4135,213,3,180,7213
6/17/2020,94,4456,317,5,321,7530
6/18/2020,102,4804,204,8,348,7734
6/19/2020,114,4983,210,12,179,7944
6/20/2020,124,5210,337,10,227,8281
6/21/2020,132,5391,416,8,181,8697
6/22/2020,137,5618,453,5,227,9150
